latitude,longitude,acq_date,acq_time,frp,brightness,bright_t31,confidence,risk_score,risk_level
32.88826,71.61584,2026-08-07,2127,2.44,309.04,294.27,n,9.63,Low
25.38842,68.58425,2026-08-07,2129,1.14,323.26,292.42,n,16.55,Low
26.0948,68.87952,2026-08-07,2129,0.56,307.26,296.32,n,7.23,Low
23.70372,90.53355,2026-08-08,701,3.78,331.1,292.17,l,22.89,Low
23.9407,90.31876,2026-08-08,701,3.46,332.3,292.54,n,23.32,Low
23.76534,86.40513,2026-08-08,701,6.4,331.15,288.98,n,24.88,Low
21.29586,95.51554,2026-08-08,701,2.7,331.63,293.7,n,22.37,Low
29.64765,90.94865,2026-08-08,703,22.55,367.0,309.09,h,56.91,Medium
29.65398,90.98617,2026-08-08,703,16.99,367.0,300.2,h,52.74,Medium
6.82226,81.80397,2026-08-08,837,4.9,336.51,289.62,n,26.74,Low
6.81376,81.77986,2026-08-08,837,3.82,345.17,287.85,n,30.74,Low
6.8258,81.76459,2026-08-08,837,3.15,336.44,288.89,n,25.38,Low
6.82072,81.803,2026-08-08,837,2.19,333.23,291.18,n,22.88,Low
6.8226700000000005,81.80707,2026-08-08,837,4.58,333.26,289.83,n,24.69,Low
6.82115,81.8061,2026-08-08,837,2.19,336.02,290.73,n,24.43,Low
6.81248,81.78204,2026-08-08,837,3.5700000000000003,334.07,289.49,n,24.38,Low
7.46902,81.17296,2026-08-08,837,4.85,330.0,292.1,n,23.08,Low
9.77946,77.68204,2026-08-08,839,2.63,333.54,296.72,n,23.38,Low
9.75537,77.6293,2026-08-08,839,10.98,367.0,295.44,h,48.24,Medium
27.98071,69.4438,2026-08-08,843,2.19,337.33,303.34,n,25.16,Low
28.83582,70.42214,2026-08-08,843,6.67,330.2,303.4,l,24.56,Low
22.60662,70.24954,2026-08-08,843,2.24,331.84,300.49,n,22.15,Low
24.32291,72.46162,2026-08-08,843,4.09,332.77,295.39,n,24.05,Low
32.10804,72.90211,2026-08-08,845,3.07,341.29,296.66,n,28.02,Low
30.9771,70.80613,2026-08-08,845,8.22,330.41,304.04,l,25.84,Low
30.91326,71.91548,2026-08-08,845,7.93,337.43,297.28,n,29.52,Low
30.86695,71.91726,2026-08-08,845,6.19,343.55,298.2,n,31.61,Low
30.85815,71.87492,2026-08-08,845,6.29,333.73,296.57,n,26.23,Low
30.79273,71.87044,2026-08-08,845,8.25,331.09,298.66,n,26.24,Low
30.79337,71.87579,2026-08-08,845,8.25,333.61,297.69,n,27.64,Low
30.74677,71.74284,2026-08-08,845,2.7,333.79,298.29,n,23.58,Low
30.6985,71.78544,2026-08-08,845,9.01,347.61,298.7,n,35.99,Low
30.6943,71.97591,2026-08-08,845,10.41,337.7,299.15,n,31.53,Low
30.66328,71.87726,2026-08-08,845,6.51,332.77,298.24,n,25.87,Low
30.66391,71.88257,2026-08-08,845,6.51,335.64,298.72,n,27.46,Low
